id_bien;numero_voie;type_voie;voie;surface_carrez;type_local;nombre_pieces;code_departement;code_commune
9931;11;RUE;DE LA GAZELLE;91.72;Appartement;3;43;157
9932;55;AV;MARECHAL FOCH;48.59;Appartement;2;43;157
9933;21;PL;DU MARCHE COUVERT;45.27;Appartement;2;43;157
9934;16;RTE;DE JONZIEUX;70.31;Appartement;3;43;205
9935;8;RUE;MARCEAU;69.11;Appartement;4;44;109
9936;18;RUE;BONNE GARDE;47.34;Appartement;2;44;190
9937;1;RUE;RECTEUR SCHMITT;28.47;Appartement;1;44;109
9938;28;RUE;DE LA ROSIERE D ARTOIS;56.8;Appartement;2;44;109
9939;2;IMP;DE L HOTEL DIEU;62.88;Maison;1;44;109
9940;4;AV;ANDREE VIOLLIS;62.1;Appartement;3;44;109
9941;16;BD;BENONI GOULLIN;68.55;Appartement;4;44;109
9942;6;RUE;DE LA FOSSE;37.83;Appartement;2;44;109
9943;74;BD;DE LA PRAIRIE AU DUC;68;Appartement;2;44;109
9944;52;BD;DE L EGALITE;62.14;Appartement;3;44;109
9945;18;RUE;DE BRIORD;107.98;Appartement;5;44;109
9946;24;RUE;COPERNIC;153.37;Appartement;6;44;109
9947;47;RUE;DE LA GARE;42.69;Appartement;2;44;162
9948;3;RUE;CHARLES BRUNELLIERE;92.55;Appartement;4;44;109
9949;41;AV;DE LA BRANCHOIRE;134.75;Maison;6;44;162
9950;18;RUE;GAETAN RONDEAU;85.5;Appartement;4;44;109
9951;2;RUE;DU MOULIN NEUF;62.6;Appartement;3;44;109
9952;3;RUE;DES PATURES;29.94;Appartement;1;44;074
9953;56;RUE;JEAN MARIE DESBROSSES;79.14;Appartement;3;44;162
9954;35;RUE;BOUGAINVILLE;24.64;Appartement;1;44;109
9955;1;RUE;DE L ARDECHE;103.79;Appartement;5;44;162
9956;6;RUE;JEAN PAUL SARTRE;61.06;Appartement;3;44;162
9957;14;RUE;DE JEMMAPES;32.54;Appartement;1;44;109
9958;3;PL;DE LA MONNAIE;14.9;Appartement;6;44;109
9959;2;RUE;GRETRY;66.87;Appartement;3;44;109
9960;1;PAS;ANDRE CRETAUX;71.33;Appartement;4;44;109
9961;7;AV;DU SEXTANT;80;Appartement;4;44;109
9962;3;RUE;DE POLYMNIE;64.13;Appartement;3;44;190
9963;9;RUE;DU DOCTEUR ALFRED CORLAY;73.8;Appartement;4;44;162
9964;63;RUE;DUFOUR;20.86;Appartement;2;44;109
9965;98;RUE;PAUL BELLAMY;16.18;Appartement;2;44;109
9966;4;ALL;BALTARD;18.43;Appartement;1;44;109
9967;148;RUE;JONCOURS;132.53;Maison;6;44;109
9968;17;RUE;DOBREE;67.52;Appartement;3;44;109
9969;13;ALL;DE L ERDRE;75.9;Appartement;4;44;190
9970;54;RUE;DU CROISSANT;80.1;Appartement;4;44;109
9971;8;ALL;D ORLEANS;56.5;Appartement;2;44;109
9972;4;RUE;LAVOISIER;45.22;Appartement;2;44;109
9973;151;RTE;DE VANNES;59.53;Appartement;2;44;162
9974;32;RUE;MARIE ANNE DU BOCCAGE;95.75;Appartement;3;44;109
9975;2;RUE;LOUIS GUILLOUX;75.1;Appartement;4;44;109
9976;66;RUE;VINCENT AURIOL;50.53;Appartement;2;44;162
9977;2;RUE;GITON;15.76;Appartement;1;44;109
9978;8;RUE;LOUIS GUILLOUX;49.2;Appartement;2;44;109
9979;3;RUE;DE POLYMNIE;43.31;Appartement;2;44;190
9980;11;RUE;DES CIVELLES;16.57;Appartement;2;44;109
9981;13;RUE;D ORLEANS;154.89;Appartement;4;44;109
9982;18;RUE;FRANKLIN;64.52;Appartement;3;44;109
9983;30;BD;BABIN CHEVAYE;73.67;Appartement;3;44;109
9984;17;RUE;DES REFORMES;38.25;Appartement;2;44;109
9985;30;BD;ALBERT EINSTEIN;19.67;Appartement;1;44;109
9986;16;RUE;DE LA PELLETERIE;28.41;Appartement;2;44;109
9987;114;RUE;DES RENARDIERES;44.18;Appartement;2;44;109
9988;1;VEN;DU THOUET;74.2;Appartement;4;44;109
9989;108;BD;DES BELGES;26.87;Appartement;1;44;109
9990;5;AV;DE LA BARAUDIERE;71.85;Appartement;4;44;162
9991;24;RUE;DE LA FOSSE;23.3;Appartement;2;44;109
9992;6;RUE;LOUIS GUILLOUX;64.4;Appartement;3;44;109
9993;37;RUE;DE LA RIVETERIE;74.2;Appartement;4;44;109
9994;54;RUE;DU CROISSANT;80.9;Appartement;4;44;109
9995;38;AV;DE LA CONCORDE;114.37;Maison;6;44;162
9996;3;RUE;DES PATURES;31.88;Appartement;2;44;074
9997;52;RUE;DU CROISSANT;48.4;Appartement;2;44;109
9998;12;RUE;OUCHE DE VERSAILLES;41.24;Appartement;2;44;109
9999;22;RUE;BABONEAU;191.3;Maison;7;44;109
10000;76;RUE;DU BOUILLON;83.25;Appartement;4;44;109
10001;16;RUE;PIERRE BEREGOVOY;67.5;Appartement;3;44;190
10002;13;RUE;EUGENE PERGELINE;47.46;Appartement;2;44;109
10003;38;RUE;DU COUDRAY;66.1;Appartement;4;44;109
10004;12;RUE;DES CARNAVALIERS;59.08;Appartement;3;44;109
10005;26;RUE;EUGENE ET LEONCIE KERIVEL;66.03;Appartement;3;44;074
10006;13;BD;ROBERT SCHUMAN;18.14;Appartement;1;44;109
10007;16;AV;AMBROISE PARE;72.5;Appartement;3;44;162
10008;4;RUE;JULES LAUNAY;34.43;Appartement;2;44;109
10009;33;RUE;FELIX FAURE;47.89;Appartement;2;44;109
10010;23;RUE;DE CAHORS;66.74;Appartement;3;44;162
10011;20;RUE;EUGENE TESSIER;68;Appartement;3;44;109
10012;55;RUE;JEAN EMILE LABOUREUR;18.08;Appartement;1;44;109
10013;10;RUE;LA TOUR D AUVERGNE;19.7;Appartement;1;44;109
10014;2;RUE;DE BARBEZIEUX;80.6;Appartement;4;44;162
10015;104;RUE;DU CORPS DE GARDE;49.16;Appartement;2;44;109
10016;2;SQ;DES ROCHELLETS;66.95;Appartement;3;44;109
10017;4;RUE;JEANNE D ARC;73.37;Appartement;3;44;109
10018;2;RUE;JEAN JAURES;68.61;Appartement;3;44;074
10019;105;RUE;D ALLONVILLE;20.94;Appartement;1;44;109
10020;46;QUAI;MAGELLAN;19.18;Appartement;1;44;109
10021;5;RUE;DE PORT LA BLANCHE;42.18;Appartement;2;44;109
10022;28;RUE;DES GARENNES;42.68;Appartement;2;44;109
10023;104;RUE;DU CORPS DE GARDE;65.5;Appartement;3;44;109
10024;17;RUE;DOBREE;39.47;Appartement;1;44;109
10025;12;RUE;DE L ABBAYE;17.66;Appartement;1;44;109
10026;30;BD;BABIN CHEVAYE;68.04;Appartement;3;44;109
10027;14;RUE;DE LA BOULOGNE;55.7;Appartement;2;44;190
10028;6;RUE;DE LA BACLERIE;43.66;Appartement;2;44;109
10029;8;AV;D HOEDIC;77.48;Maison;4;44;109
10030;51;RUE;MAURICE DANIEL;85.36;Appartement;3;44;190
10031;25;BD;VINCENT GACHE;37.02;Appartement;2;44;109
10032;4;ALL;PAUL LE DROGO;52.13;Appartement;2;44;109
10033;39;RUE;FELIX LEMOINE;57.7;Appartement;3;44;109
10034;41;RUE;DE LA MICHAUDIERE;57.82;Appartement;3;44;109
10035;18;RUE;BONNE GARDE;46.92;Appartement;2;44;190
10036;7;RUE;DE PORT LA BLANCHE;62.6;Appartement;3;44;109
10037;104;RUE;DU CORPS DE GARDE;64.57;Appartement;3;44;109
10038;2;ALL;DES PINSONS;59.3;Appartement;2;44;109
10039;12;BD;DU MASSACRE;39.33;Appartement;2;44;162
10040;16;RUE;DES SAUMONIERES;19.71;Appartement;1;44;109
10041;1;AV;DES CASCADES;62.19;Appartement;3;44;109
10042;8;BD;DU PETIT PORT;22.16;Appartement;1;44;109
10043;1;RUE;FULTON;66.15;Appartement;3;44;109
10044;12;RUE;DES STOCKS;34.98;Appartement;1;44;109
10045;80;BD;ST AIGNAN;18.43;Appartement;1;44;109
10046;3;RUE;DES HAUTS MOULINS;31.53;Appartement;1;44;162
10047;38;RUE;DU LIEUTENANT MARTY;50.42;Appartement;2;44;190
10048;11;RUE;DE LA LOIRE;38.33;Appartement;2;44;190
10049;13;RUE;COPERNIC;89.18;Appartement;3;44;109
10050;184;RUE;PAUL BELLAMY;38.36;Appartement;2;44;109
10051;145;BD;FRANCOIS MITTERRAND;68.13;Appartement;4;44;162
10052;2;AV;DE LA BRANCHOIRE;66.34;Appartement;3;44;162
10053;104;RUE;DU CORPS DE GARDE;61.64;Appartement;3;44;109
10054;44;RUE;GRANDE BIESSE;26.09;Appartement;1;44;109
10055;104;RUE;DU CORPS DE GARDE;45.99;Appartement;2;44;109
10056;70;RUE;LOUIS PASTEUR;67.32;Maison;4;44;190
10057;14;RUE;NEPTUNE;80.17;Maison;4;44;162
10058;3;RUE;JEAN CABUT DIT CABU;41.98;Appartement;2;44;190
10059;4;PL;DE LA BOURSE;56.47;Appartement;2;44;109
10060;2;RUE;DU GENERAL DUEZ;19.02;Appartement;1;44;190
10061;4;PL;LT JEHENNE;38.11;Appartement;2;44;109
10062;19;RUE;DE LA VERRERIE;138.9;Appartement;6;44;109
10063;5;RUE;CHARLES VIAUD;68.62;Appartement;3;44;109
10064;26;RUE;DU GRAND CLOS;40.38;Appartement;1;44;109
10065;2;RUE;EMILE PEHANT;21.86;Appartement;1;44;109
10066;33;RUE;DU 65E REGIMENT INFANTERIE;11.66;Appartement;2;44;109
10067;13;AV;DES AMANDINES;38.6;Appartement;1;44;109
10068;3;RTE;DE ST SEBASTIEN;52.61;Appartement;2;44;109
10069;64;AV;DES PLANTES;82.17;Maison;4;44;162
10070;239;RTE;DE ST JOSEPH;80.3;Appartement;4;44;109
10071;5;BD;AMIRAL COURBET;35.81;Appartement;2;44;109
10072;51;RUE;DES DERVALLIERES;19.02;Appartement;1;44;109
10073;3;RUE;MAURICE SIBILLE;38.05;Appartement;2;44;109
10074;2;PL;DE LA MONNAIE;98.29;Appartement;4;44;109
10075;20;RUE;ANATOLE LE BRAZ;34.39;Appartement;1;44;109
10076;1;BD;ALBERT EINSTEIN;20.61;Appartement;1;44;109
10077;14;IMP;PHILIBERT;27.8;Appartement;1;44;109
10078;36;AV;DES PRELUDES;79.87;Maison;4;44;109
10079;12;RUE;DES CARNAVALIERS;51.33;Appartement;2;44;109
10080;22;RUE;FOURE;133.26;Appartement;5;44;109
10081;32;BD;DE L'ESTUAIRE;42.34;Appartement;2;44;109
10082;19;RUE;ALEXANDRE FOURNY;10.78;Appartement;1;44;109
10083;114;RUE;DES RENARDIERES;28.68;Appartement;1;44;109
10084;6;RUE;D AGEN;71.97;Appartement;4;44;162
10085;5;RUE;DU 14 JUILLET;106.52;Appartement;3;44;109
10086;4;RUE;LAMORICIERE;31.12;Appartement;1;44;109
10087;1;BD;ALBERT EINSTEIN;19.44;Appartement;1;44;109
10088;4;BD;DU MASSACRE;51.63;Appartement;3;44;162
10089;12;RUE;EMILE PEHANT;17.55;Appartement;1;44;109
10090;15;RUE;DU GENERAL ZIMMER;65.8;Appartement;3;44;162
10091;33;RUE;PARMENTIER;49.55;Appartement;2;44;109
10092;1;RUE;DE STRASBOURG;49.78;Appartement;3;44;109
10093;31;BD;DE LAUNAY;65.61;Appartement;3;44;109
10094;2;RUE;DES HETRES;49.75;Appartement;2;44;190
10095;8;RUE;BONNE LOUISE;16.72;Appartement;1;44;109
10096;63;RUE;MAL JOFFRE;24.75;Appartement;1;44;109
10097;4;AV;DE LA BRANCHOIRE;75.41;Appartement;4;44;162
10098;14;RUE;DE BELLEVILLE;34.9;Appartement;2;44;109
10099;23;RUE;DU MORVAN;96.4;Maison;4;44;190
10100;83;RUE;D ALLONVILLE;39.46;Appartement;2;44;109
10101;32;RUE;DU GENERAL DE GAULLE;123.05;Maison;4;44;190
10102;3;RUE;LINNE;134.36;Appartement;5;44;109
10103;2;RUE;EMILE PEHANT;18.3;Appartement;1;44;109
10104;66;RUE;NOIRE;38.64;Appartement;2;44;109
10105;7;RUE;DU CHER;67;Appartement;3;44;109
10106;37;RUE;DE LA CHICOTIERE;13.79;Appartement;1;44;162
10107;10;AV;DE LA BRANCHOIRE;79.52;Appartement;4;44;162
10108;10;ALL;DE LA BOUSCARLE DE CETTI;31.5;Appartement;1;44;109
10109;1;BD;ALEXANDRE MILLERAND;50.56;Appartement;2;44;109
10110;1;AV;D ALBION;76.78;Appartement;3;44;109
10111;10;RUE;VILLA MARIA;124.66;Appartement;4;44;109
10112;10;RUE;D AGEN;63.39;Appartement;3;44;162
10113;80;BD;ST AIGNAN;19.92;Appartement;1;44;109
10114;80;BD;ST AIGNAN;19.97;Appartement;1;44;109
10115;24;RUE;DES ROSES;38.19;Appartement;2;44;109
10116;28;RUE;DE L OUEST;105.77;Appartement;4;44;109
10117;94;BD;DE LONGCHAMP;17.7;Appartement;1;44;109
10118;12;BD;DU TERTRE;70.91;Appartement;3;44;162
10119;2;SQ;DES JARDINS DE LONGCHAMP;117.61;Appartement;6;44;109
10120;9;RUE;GAL DE TORQUAT;23.9;Appartement;2;44;109
10121;19;RUE;GABRIEL GOUDY;54.2;Appartement;2;44;109
10122;1;RUE;DE MORLAIX;89.75;Appartement;5;44;162
10123;8;RUE;LEON BLUM;26.78;Appartement;1;44;109
10124;3;RUE;ANNE MANDEVILLE;38.08;Appartement;2;44;109
10125;1;RUE;GUILLAUME APOLLINAIRE;79.2;Appartement;4;44;109
10126;8;RUE;DE L ORNE;46.23;Appartement;2;44;162
10127;16;RUE;JEAN PHILIPPE RAMEAU;49.13;Maison;3;44;190
10128;3;RUE;EVEQUE EMILIEN;12.11;Appartement;1;44;109
10129;2;RUE;DESHOULIERES;14.07;Appartement;1;44;109
10130;1;ALL;DE L'ILE TABOR;50.28;Appartement;2;44;109
10131;28;RUE;DE L OUEST;25.89;Appartement;1;44;109
10132;77;RUE;ALBERT CALMETTE;85.3;Appartement;3;44;109
10133;1;ALL;FRANCOIS COUPERIN;79.13;Appartement;5;44;162
10134;44;RUE;JEAN POULAIN;26.37;Appartement;1;44;109
10135;12;BD;DU TERTRE;76.01;Appartement;4;44;162
10136;18;RUE;DES OLIVETTES;20.54;Appartement;1;44;109
10137;12;RUE;MALHERBE;26.32;Appartement;2;44;109
10138;44;BD;DU VAL DE CHEZINE;86.41;Appartement;4;44;162
